so,source_file,customer,customer_street_address,customer_city,customer_state,customer_zip,order_date,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,fuel_brand,store_brand,store_id,site_id,site_address,site_city,site_state,state,site_zip,service_requested,service_date,technician,new_install/90_days,system,equipment_replacement,reason_for_order,equipment_category,impact_to_site,interface,firmware,last_service_date,min_temp_F,max_temp_F,avg_temp_F,precipitation_inches,humidity_precentag,snowfall_inches,windspeed_mph,sunshine_hours
32695,"SO#32695 Texaco #TBD - Moncks Corner, SC - FMD16CSS3-GSW-C5 PVSP21-NRC-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/13/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,,3271 Highway 52,Moncks Corner,SC,South Carolina,29461,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
32696,"SO#32696 Texaco #TBD - Bonneau, SC - FMD16CSS3-GSW-C5 PVSP21-NRC-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/13/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,,936 Black Oak Rd.,Bonneau,SC,South Carolina,29431,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
32697,"SO#32697 Texaco #TBD #2 - Moncks Corner, SC - FMD16CSS3-GSW-C5 PVSP21-NRC-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/13/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,,1006 Old Hwy 52,Moncks Corner,SC,South Carolina,29461,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
32698,"SO#32698 Texaco #TBD - St. George, SC - FMD12CSS3-GSW-C5_PVSPS21-NRC-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/13/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,,5581 Memorial Blvd.,St. George,SC,South Carolina,29477,FALSE,,,,,,,,,PVCU-POS-VFON-GO,3.09,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
32699,"SO#32699 Texaco #TBD #2 site - St. George, SC - FMD12CSS3-GSW-C5_PVSPS21-NRC-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/13/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,,5668 Memorial Blvd.,St. George,SC,South Carolina,29477,FALSE,,,,,,,,,PVCU-POS-VFON-GO,3.09,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
32700,"SO#32700 Chevron #TBD - Snohomish, WA - FMD8CTS3-GSW-C1_C2_PVSPS82-UD-CRCH-1.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/15/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,,,,1120 Ave D.,Snohomish,WA,Washington,,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,4.9,78.7,0,13.7,8.1
32702,"SO#32702 Pacific Pride - Lansing, MI - FMD12SEN3A-GSR-GSG-GSA_PVSPS82X62-UDW-1.xlsx",Bear Sign,1176 Gernaat Ct. Ste D,Portage,MI,49002,11/15/2024,Bear Sign,1176 Gernaat Ct. Ste D,Portage,MI,49002,United Fuels,Pacific Pride,,,5402 N. Aurelius Rd.,Lansing,MI,Michigan,48911,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,5.9,66.3,0,11.8,8.4
32703,"SO#32703 Chevron #TBD - Andres, SC - FMD16CSS3-GSW-C1 PVSP21-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/15/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Chevron,,,,201 E. Main St.,Andres,SC,South Carolina,29510,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
32704,"SO#32704 Citgo#15640105 - Woodbridge Township, NJ - FMD10SEP3-GSR-GSG PVSPS82X62-UDW-1.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,11/20/2024,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,,,15640105,1021 US -9,Woodbridge Township,NJ,New Jersey,7095,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,2.1,76.1,0,14.2,9
32705,"SO#32705 Chevron #TBD - Cartersville, GA - FMD12CSS3-GSW-C1_FMD8CTS3-GSW-C2_PVSPS82X62-UD-CRCH-1.xlsx","Dualite, Inc",One Dualite Lane,Williamburg,OH,45176,11/22/2024,"Dualite, Inc",One Dualite Lane,Williamburg,OH,45176,Chevron,,,,4 Charley Harper,Cartersville,GA,Georgia,30120,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,3.6,81.8,0,5.8,10.7
